 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
3221,294.976,330.453,318.097,321.861,318.353,304.852,311.468,329.490,331.521,331.365,330.402,322.356
3222,295.198,330.187,317.952,322.150,317.408,305.438,312.095,329.283,331.192,330.524,330.353,321.292
3223,295.261,330.230,317.519,321.850,316.853,305.564,312.956,329.068,330.470,329.229,330.057,321.097
3224,295.368,330.322,316.974,321.272,316.844,305.333,313.641,329.099,329.542,328.006,329.479,322.049
3225,295.875,330.282,316.936,320.837,317.221,304.830,313.766,329.470,328.733,327.519,328.820,323.191
3226,296.857,330.276,317.431,320.633,317.578,304.193,313.234,329.878,328.296,327.889,328.431,324.086
3227,297.736,330.325,318.018,320.578,317.834,303.502,312.617,329.911,328.078,328.413,328.365,324.809
3228,298.116,330.463,318.450,320.759,318.140,302.943,312.449,329.540,328.031,328.649,328.501,324.970
3229,297.924,330.341,318.494,321.017,318.454,302.825,312.688,329.032,328.286,328.339,328.569,324.266
3230,297.541,329.889,318.080,321.252,318.600,303.104,312.795,328.455,328.906,327.692,328.531,323.135
3231,297.191,329.604,317.397,321.248,318.563,303.422,312.488,328.009,329.430,326.950,328.410,322.554
3232,296.985,329.816,316.883,321.071,318.474,303.661,311.856,327.811,329.601,326.451,328.396,322.899
3233,297.103,330.276,316.931,320.714,318.199,303.924,311.278,327.796,329.478,326.206,328.283,323.352
3234,297.313,330.707,317.554,320.534,317.790,304.184,311.100,327.632,329.300,326.074,327.933,323.371
3235,297.252,330.946,318.102,320.656,317.325,304.128,311.444,327.166,329.114,325.950,327.463,323.610
3236,296.845,330.970,318.015,320.694,316.805,303.599,311.834,326.614,328.826,325.915,327.103,324.423
3237,296.389,330.808,317.347,320.507,316.212,302.892,312.085,326.233,328.525,325.862,327.034,325.468
3238,296.067,330.675,316.662,320.330,315.670,302.290,312.485,326.118,328.382,325.598,327.185,326.019
3239,295.991,330.688,316.342,320.520,315.339,302.010,313.007,326.214,328.200,325.137,327.299,325.940
3240,296.228,330.756,316.311,320.670,315.067,302.135,313.210,326.276,327.555,324.732,327.147,325.835
3241,296.726,330.688,316.128,320.207,315.075,302.741,312.885,326.233,326.611,324.616,326.897,326.176
3242,297.383,330.509,315.823,319.367,315.922,303.870,312.393,325.969,325.846,325.014,326.771,326.697
3243,297.635,330.623,315.464,319.007,317.558,305.306,312.261,325.643,325.734,325.775,326.675,326.543
3244,297.371,330.986,315.084,319.493,319.308,306.661,312.700,325.524,326.266,326.569,326.473,325.757
3245,296.942,331.369,314.803,320.381,320.739,307.585,313.546,325.536,327.040,327.195,326.213,324.974
3246,296.657,331.556,314.744,321.034,321.706,308.052,314.322,325.277,327.656,327.555,326.130,324.764
3247,296.629,331.320,315.051,320.993,322.233,308.073,314.768,324.593,328.155,327.547,326.421,325.067
3248,296.553,330.694,315.757,320.622,322.321,307.825,314.871,323.767,328.693,327.436,326.971,325.292
3249,296.003,329.867,316.340,320.412,322.466,307.707,315.071,323.591,329.128,327.639,327.318,325.082
3250,295.416,329.260,316.316,320.350,322.966,308.160,315.451,324.198,329.224,328.093,327.095,324.285
3251,295.337,328.808,315.888,320.099,323.609,309.089,315.844,325.074,329.210,328.353,326.458,323.461
3252,295.687,328.434,315.740,319.602,323.966,309.780,316.068,325.681,329.363,328.048,325.810,323.142
3253,295.933,328.165,315.896,319.099,324.126,309.870,316.117,325.900,329.730,327.331,325.432,323.397
3254,295.991,328.092,315.943,319.017,324.405,309.625,315.939,325.986,330.009,326.762,325.359,323.820
3255,295.866,328.336,315.693,319.160,324.761,309.635,315.654,326.156,329.900,326.652,325.477,323.869
3256,295.286,328.794,315.309,319.306,324.541,309.863,315.317,326.375,329.459,326.642,325.597,323.648
3257,294.404,329.295,314.951,319.231,323.845,309.745,315.132,326.365,328.962,326.154,325.619,323.607
3258,293.912,329.751,314.733,318.871,323.293,309.035,315.122,326.038,328.464,325.467,325.557,323.685
3259,294.116,329.856,314.658,318.704,323.388,308.238,315.527,325.581,327.834,325.301,325.518,323.502
3260,294.979,329.699,314.490,318.854,323.859,307.958,316.337,325.215,327.100,325.744,325.460,322.813
3261,295.897,329.482,314.137,319.187,324.100,308.003,317.024,325.038,326.525,326.327,325.431,322.176
3262,296.413,329.360,313.669,319.282,324.011,307.917,317.100,324.995,326.438,326.580,325.323,322.101
3263,296.328,329.187,313.377,319.190,323.804,307.394,316.746,325.049,326.765,326.439,325.065,322.813
3264,295.775,329.111,313.322,319.027,323.532,306.691,316.380,325.145,327.183,326.014,324.600,323.704
3265,294.888,329.220,313.499,318.568,323.020,306.583,316.198,325.106,327.430,325.602,324.270,324.015
3266,294.173,329.499,313.689,317.840,322.396,306.993,316.010,324.828,327.531,325.349,324.336,323.633
3267,293.927,329.702,313.682,317.510,321.877,307.438,315.712,324.375,327.353,325.259,324.780,323.049
3268,294.000,329.810,313.510,317.918,321.643,307.549,315.180,323.947,327.115,325.224,325.355,322.558
3269,294.128,329.940,313.426,318.537,321.374,307.453,314.820,323.506,327.088,325.343,325.760,321.865
3270,294.295,329.908,313.380,318.721,321.095,307.280,314.973,323.047,327.344,325.251,325.881,320.824
3271,294.395,329.680,313.090,318.401,320.974,306.972,315.422,322.644,327.416,324.787,325.845,320.052
3272,294.210,329.382,312.291,318.048,320.972,306.587,315.641,322.349,327.214,323.890,325.881,319.963
