 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16
79,702.284,662.770,696.145,671.724,688.201,723.350,707.150,685.938,701.414,695.788,698.728,691.598,700.388,676.493,669.651,690.319
80,701.179,662.918,695.949,671.263,687.530,724.699,706.124,686.602,700.723,695.778,699.804,690.789,699.701,676.003,668.721,691.104
81,700.599,662.821,694.953,669.989,687.009,725.697,705.338,687.359,700.494,695.187,701.110,689.765,698.456,676.296,668.093,691.965
82,700.301,662.504,693.713,668.690,686.637,725.960,705.296,687.614,700.581,694.192,701.478,688.647,696.302,676.941,667.914,692.427
83,699.895,662.367,692.514,668.151,686.302,725.593,705.486,687.981,700.730,693.296,700.679,687.827,693.961,677.033,667.874,692.052
84,699.824,662.570,691.458,668.804,686.126,725.059,705.066,689.232,700.849,692.798,699.877,687.334,692.534,676.286,667.818,691.222
85,700.443,662.620,690.921,670.594,686.196,724.861,704.047,690.958,701.258,693.039,699.830,687.254,692.409,675.579,667.888,690.354
86,701.304,662.249,690.960,672.342,686.549,725.206,703.038,692.031,701.710,693.793,700.230,687.272,692.829,675.428,667.881,690.073
87,701.327,661.745,691.105,672.867,687.160,725.904,702.502,691.660,701.667,694.421,700.893,687.242,692.726,675.625,667.513,690.059
88,700.449,661.692,690.547,672.149,687.655,726.685,702.671,690.340,700.633,694.643,701.768,687.375,691.754,675.493,666.807,689.743
89,699.327,662.331,689.308,671.101,687.578,727.428,703.326,688.772,699.092,694.475,702.248,688.248,690.893,675.105,666.197,688.823
90,698.091,663.500,688.122,670.483,687.036,728.037,703.812,687.398,697.769,694.067,701.595,689.390,690.854,674.783,666.257,687.913
91,696.548,664.665,687.878,670.329,686.508,728.516,703.448,686.792,696.910,693.643,700.426,689.703,691.384,674.714,667.060,687.587
92,695.392,665.432,688.423,670.225,686.418,728.910,702.685,686.973,696.401,693.559,699.872,688.876,692.107,674.503,668.204,687.795
93,695.264,665.728,689.159,670.225,686.533,729.227,702.408,687.336,696.197,693.719,700.452,687.517,692.683,674.250,668.937,688.260
94,696.082,665.757,689.598,670.430,686.481,729.236,702.958,687.598,696.221,693.921,701.648,686.211,693.306,674.405,668.978,688.670
95,697.094,665.802,689.820,670.610,686.052,728.909,703.920,687.892,696.148,694.286,702.580,685.084,694.060,675.135,668.569,688.903
