 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
208,672.474,696.376,694.411,701.799,685.036,688.485,699.091,684.458,693.661,664.432,683.062,691.660,760.179
209,673.194,695.879,695.681,702.790,684.077,688.276,699.068,684.677,693.162,664.612,682.856,691.658,758.497
210,672.918,695.321,696.434,702.809,683.699,687.801,698.030,685.661,692.451,664.358,682.759,691.723,756.642
211,672.003,694.638,696.294,702.034,683.771,687.495,696.413,686.514,691.752,663.896,682.441,692.163,754.547
212,671.510,693.371,695.511,701.234,683.941,687.603,694.909,686.207,691.481,663.531,682.104,693.049,752.436
213,671.766,692.036,695.025,700.952,684.176,687.946,694.102,685.538,691.493,663.317,682.195,693.990,750.835
214,672.329,691.717,695.501,701.121,684.674,688.010,694.333,685.653,690.971,663.056,682.826,694.371,749.749
215,672.612,692.579,696.953,701.341,685.317,687.222,695.129,686.406,689.643,662.664,683.457,693.971,749.087
216,672.362,693.469,698.596,700.901,685.670,685.997,695.436,686.900,688.466,662.417,683.650,693.755,748.617
217,672.016,693.543,699.736,699.604,685.568,685.219,694.852,686.618,688.572,662.445,683.476,694.121,747.905
218,671.635,693.405,700.157,698.353,685.360,685.131,694.102,685.633,689.304,662.772,683.513,694.903,746.902
219,671.164,693.819,700.145,698.019,685.428,685.195,693.583,684.649,689.493,663.542,683.644,695.587,745.897
220,670.891,694.757,700.464,698.490,685.878,685.488,692.936,684.215,689.286,664.460,683.388,695.968,744.899
221,670.658,695.717,701.115,699.186,686.267,686.010,691.905,684.386,689.389,665.217,682.682,696.403,744.050
222,670.378,696.195,701.559,699.831,686.505,686.613,691.337,684.745,689.702,665.475,681.805,697.316,743.187
223,670.010,695.771,701.292,700.345,686.529,686.953,691.958,684.781,689.581,665.182,680.896,698.495,741.832
224,670.072,694.698,700.706,701.186,686.609,687.337,693.129,684.522,688.976,664.369,680.203,699.471,740.011
225,670.349,693.564,700.479,701.988,686.921,688.091,693.811,684.163,688.490,663.252,680.262,700.201,738.774
226,670.539,693.133,700.853,702.444,687.244,688.761,693.917,683.693,688.407,662.178,680.976,700.733,738.749
227,670.651,693.524,701.409,702.688,687.450,688.623,694.000,683.291,688.443,661.334,681.813,701.051,739.263
228,671.234,694.231,701.888,703.220,687.692,687.764,694.159,682.972,688.507,660.705,682.321,701.027,739.279
229,672.303,694.531,702.025,704.082,687.663,686.869,694.144,682.912,688.794,660.265,682.329,700.590,738.377
230,673.382,694.602,701.820,704.969,686.932,686.515,693.875,682.948,689.708,659.980,682.374,699.786,737.464
231,674.234,694.950,701.117,705.667,685.600,686.633,693.833,682.884,691.192,659.937,682.976,699.155,737.598
232,675.128,695.526,700.010,706.099,684.371,686.798,694.117,682.757,692.841,659.959,683.634,698.964,738.986
233,676.497,696.021,698.768,705.833,683.941,686.960,694.292,682.653,694.103,659.918,683.615,698.888,740.453
234,678.026,696.079,697.875,704.715,684.367,687.633,694.019,682.876,694.740,659.811,683.051,698.498,741.372
235,679.092,695.886,696.781,703.353,685.235,688.976,693.500,683.940,695.136,659.423,682.717,698.049,742.302
236,679.569,695.836,695.282,702.316,685.801,690.162,693.307,685.657,695.917,658.735,682.818,697.709,743.746
237,679.661,696.133,693.920,701.971,685.681,690.532,693.519,687.048,696.985,658.115,683.283,697.080,745.291
238,679.628,696.733,693.504,701.908,685.294,690.397,693.860,687.100,697.829,657.774,684.209,696.046,746.447
239,679.882,697.069,693.915,701.592,685.299,690.714,693.742,685.960,698.192,657.544,685.698,695.019,747.109
240,680.566,696.510,694.332,701.036,685.848,691.764,693.136,684.697,698.165,657.417,687.436,694.522,747.372
241,681.286,694.979,694.254,700.768,686.909,693.088,692.561,684.566,697.994,657.562,688.783,694.624,747.461
242,681.632,693.029,693.529,701.157,688.195,694.781,692.580,685.618,698.009,657.881,689.628,695.214,747.701
243,681.339,691.495,692.561,701.647,689.149,696.451,693.276,686.717,698.655,658.445,689.992,696.165,748.128
244,680.526,691.067,691.968,701.365,689.609,697.276,694.053,686.988,699.445,658.701,689.914,697.068,748.318
245,679.434,691.686,692.170,700.357,689.667,697.044,694.595,686.530,699.236,658.230,689.570,697.481,747.648
246,678.862,692.448,692.486,699.466,689.477,696.593,694.958,686.275,697.982,657.336,689.401,696.995,745.726
247,679.132,692.752,692.489,699.205,689.400,696.653,695.083,686.570,696.847,656.731,689.762,695.755,743.187
248,679.543,693.107,692.479,699.321,689.547,696.933,695.064,687.155,696.658,656.588,690.559,694.641,741.377
249,679.516,693.938,692.796,699.326,689.387,696.987,694.750,687.578,697.221,656.768,691.500,694.393,740.813
250,679.188,694.612,693.095,699.273,688.749,697.067,694.151,687.478,698.239,657.113,692.350,694.638,740.503
251,678.911,694.655,692.975,699.370,688.278,697.162,693.720,686.872,699.224,657.811,692.738,694.833,739.349
252,679.036,694.598,692.708,699.635,688.509,697.212,693.326,686.351,699.664,658.881,692.497,694.883,737.385
253,679.428,694.788,692.529,699.792,689.348,697.209,692.655,686.558,699.711,660.089,692.110,695.063,736.025
254,679.730,694.895,692.317,699.717,690.149,697.603,691.572,686.641,699.637,660.902,692.332,695.296,736.536
255,679.441,694.607,691.970,699.507,690.328,698.064,690.958,686.151,699.351,661.304,693.083,695.175,739.151
