 ,Mean1,Mean4,Mean6,Mean7
333,630.403,866.578,716.510,799.477
334,628.765,861.501,714.673,799.367
335,627.796,857.174,712.622,799.474
336,628.118,857.338,711.847,799.839
337,629.104,860.697,712.539,800.215
338,629.291,862.686,713.512,800.282
339,628.230,860.785,713.411,799.971
340,626.595,857.211,712.286,799.735
341,625.735,856.058,711.375,800.052
342,626.495,858.380,711.687,800.725
343,628.396,860.982,712.552,801.109
344,629.979,860.007,712.638,801.018
345,630.424,855.746,711.919,800.607
346,630.315,852.462,711.719,800.098
347,630.481,853.285,712.547,799.715
348,630.962,856.588,713.593,799.455
349,631.062,858.042,713.685,799.128
350,630.277,855.669,712.787,798.639
351,629.370,852.515,711.979,798.418
352,629.161,852.572,712.418,798.741
353,629.564,855.989,714.043,799.438
354,629.756,858.980,715.434,799.990
355,629.393,858.535,715.162,800.004
356,628.943,855.888,713.547,799.665
357,628.948,854.633,712.296,799.508
358,629.538,856.200,712.478,799.821
359,630.348,858.290,713.508,800.382
360,631.100,858.288,714.166,800.831
361,631.645,856.880,714.185,801.078
362,632.227,857.694,714.459,801.423
363,633.218,862.860,715.697,801.982
364,634.488,869.932,717.415,802.563
365,635.393,873.972,718.112,802.929
366,635.635,872.505,717.165,803.068
367,635.389,868.186,715.436,803.215
368,635.239,865.927,714.444,803.382
369,635.396,867.293,714.788,803.413
370,635.336,869.089,715.708,803.078
371,634.443,867.533,715.912,802.463
372,633.033,863.070,714.998,802.027
373,632.180,860.122,713.833,802.069
374,632.543,861.427,713.479,802.521
375,633.464,864.646,713.994,802.969
376,633.865,865.236,714.412,802.900
377,633.130,861.761,714.151,802.329
378,632.045,857.603,713.587,801.863
379,631.507,856.903,713.750,802.122
380,632.097,859.809,714.758,802.883
381,632.917,862.812,715.479,803.344
382,633.121,862.949,714.896,803.147
383,632.998,861.341,713.492,802.671
384,633.244,861.627,712.789,802.731
385,633.934,865.140,713.471,803.431
386,634.742,869.256,714.444,804.119
387,635.396,870.250,714.320,804.249
388,635.685,867.611,712.965,804.082
389,635.611,864.912,711.804,804.207
390,635.562,865.648,712.128,804.742
391,635.908,869.182,713.695,805.445
392,636.355,871.375,714.776,805.753
393,636.687,869.556,714.304,805.428
394,637.159,865.979,713.159,804.861
395,637.898,864.900,712.943,804.803
396,638.602,867.436,713.944,805.444
397,638.773,870.414,714.868,806.352
398,638.107,870.519,714.482,806.902
399,636.896,868.482,713.284,806.937
400,635.903,868.512,713.004,807.040
401,635.652,873.507,714.534,807.813
402,636.045,881.627,717.128,809.139
403,636.590,887.455,719.037,810.191
404,636.922,887.576,719.058,810.389
405,637.052,884.196,717.823,809.969
406,637.353,882.066,716.967,809.657
407,637.974,882.669,717.109,809.729
408,638.652,883.336,717.338,809.691
409,639.050,881.289,716.749,808.929
410,638.998,877.363,715.443,807.586
411,638.720,875.189,714.533,806.604
412,638.765,876.660,714.610,806.673
413,638.960,879.253,715.328,807.493
414,638.614,878.571,715.592,808.140
415,637.443,873.612,714.843,808.060
416,636.308,868.420,714.114,807.781
417,636.351,867.525,714.506,807.873
