 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22
60,267.161,272.756,266.725,264.607,275.208,257.697,252.652,254.770,257.761,249.027,248.951,255.982,356.468,257.888,250.160,255.746,251.857,250.370,253.136,255.930,252.272,255.508
61,267.475,272.344,266.077,265.363,275.105,258.563,252.306,254.668,257.816,249.962,249.918,255.928,355.089,257.946,250.470,255.827,251.699,250.301,253.582,255.899,252.670,255.580
62,267.009,271.979,265.418,265.739,275.179,259.057,251.940,254.586,258.024,250.495,250.796,256.099,353.713,258.126,250.703,255.926,251.659,250.104,254.146,255.807,252.940,255.496
63,266.106,271.683,264.895,265.667,275.186,258.926,251.790,254.293,257.758,250.586,251.233,256.251,352.777,258.133,250.627,255.875,251.631,249.775,254.314,255.672,253.060,255.313
64,265.571,271.549,264.627,265.449,275.004,258.366,251.728,253.672,257.283,250.441,251.069,256.179,352.332,257.771,250.500,255.440,251.535,249.487,254.179,255.694,253.046,255.143
65,265.816,271.422,264.481,264.932,274.609,257.699,251.613,253.066,256.853,250.457,250.437,256.076,351.924,257.454,250.416,254.899,251.287,249.271,253.864,255.528,252.775,255.311
66,266.359,271.242,264.369,264.359,274.041,256.899,251.369,252.637,256.618,250.521,249.559,255.982,351.366,257.464,250.428,254.512,250.900,249.132,253.593,255.070,252.328,255.657
67,266.346,270.929,264.195,264.090,273.448,256.208,251.094,252.477,256.683,250.333,248.824,255.928,350.714,257.470,250.519,254.539,250.818,248.905,253.411,254.533,251.911,255.769
68,265.760,270.462,263.976,264.444,273.141,255.872,251.138,252.793,256.986,249.645,248.796,255.789,350.183,257.104,250.684,254.729,251.456,248.502,253.475,254.123,251.575,255.669
69,265.106,269.861,263.679,265.158,273.185,256.041,251.680,253.461,257.334,248.866,249.424,255.713,349.797,256.414,250.686,254.890,252.596,248.035,253.482,253.851,251.404,255.470
