 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
84,311.027,319.795,306.684,301.030,319.821,312.422,307.599,321.452,317.896,325.949,308.354,312.403,310.356
85,311.009,319.606,306.737,301.440,320.052,312.428,307.236,321.568,318.106,326.295,308.648,312.371,310.135
86,311.000,319.590,307.064,302.011,319.832,312.564,306.980,321.640,318.273,326.458,308.995,312.454,309.933
87,310.873,319.857,307.302,302.319,319.456,312.715,306.812,321.726,318.327,326.499,309.147,312.516,309.836
88,310.665,320.260,307.316,302.092,319.129,312.800,306.775,322.018,318.275,326.543,309.112,312.480,309.970
89,310.494,320.634,307.172,301.677,318.879,312.670,306.786,322.403,318.236,326.685,309.085,312.500,310.251
90,310.441,320.913,307.075,301.342,318.404,312.337,306.735,322.576,318.306,326.674,308.928,312.636,310.495
91,310.655,321.161,307.289,301.259,317.916,311.861,306.422,322.408,318.320,326.467,308.534,312.878,310.562
92,311.015,321.314,307.581,301.351,317.725,311.364,306.189,321.964,318.175,326.219,308.127,313.118,310.370
93,311.275,321.201,307.576,301.443,318.021,310.999,306.220,321.341,317.948,326.235,307.977,313.318,309.901
94,311.485,320.793,307.392,301.576,318.312,310.886,306.408,320.852,317.765,326.512,308.127,313.474,309.337
95,311.780,320.294,307.292,301.823,318.174,310.959,306.440,320.673,317.597,326.842,308.406,313.571,308.911
96,312.089,319.998,307.311,302.034,317.729,311.172,306.283,320.807,317.348,326.971,308.545,313.570,308.794
97,312.278,319.909,307.305,301.975,317.286,311.271,306.262,321.039,317.205,326.752,308.675,313.421,309.099
98,312.254,320.040,307.220,301.631,317.077,311.122,306.456,321.192,317.308,326.387,308.969,313.256,309.626
99,312.169,320.332,307.178,301.516,317.299,310.928,306.749,321.151,317.530,326.212,309.438,313.264,310.238
100,312.182,320.622,307.030,301.649,317.813,310.800,306.853,320.993,317.602,326.310,309.958,313.563,310.820
101,312.339,320.736,306.931,301.722,318.288,310.611,306.638,320.818,317.458,326.349,310.324,314.005,310.893
102,312.409,320.644,306.835,301.528,318.439,310.307,306.216,320.684,317.162,325.935,310.352,314.365,310.329
103,312.386,320.314,306.658,301.330,318.486,310.108,305.866,320.454,316.921,325.365,309.956,314.493,309.424
104,312.193,319.911,306.392,301.291,318.697,310.086,305.662,320.085,316.923,325.018,309.369,314.437,308.695
105,311.919,319.336,306.209,301.431,319.013,310.106,305.476,319.835,317.158,325.166,309.022,314.430,308.273
106,311.519,318.873,306.334,301.677,319.125,310.024,305.402,319.759,317.466,325.548,309.019,314.528,307.954
107,311.195,318.746,306.640,301.984,318.968,309.930,305.541,319.773,317.712,325.822,309.159,314.482,307.707
108,311.087,318.984,306.766,302.076,318.828,309.898,305.801,319.718,317.796,325.900,309.065,314.163,307.788
109,311.152,319.457,306.714,301.869,319.000,309.870,306.102,319.581,317.729,325.914,308.712,313.667,307.897
110,311.258,319.807,306.660,301.479,319.301,309.833,306.525,319.510,317.554,326.051,308.336,313.441,307.877
111,311.432,320.022,306.926,301.126,319.407,309.671,306.967,319.641,317.205,326.225,308.084,313.570,307.873
112,311.896,320.189,307.409,300.963,319.084,309.380,307.134,319.904,316.873,326.271,307.939,313.990,308.127
113,312.528,320.221,307.957,301.025,318.572,309.182,306.978,320.126,316.708,326.282,307.877,314.421,308.552
114,313.089,320.163,308.361,301.073,318.378,309.298,306.616,320.286,316.701,326.336,307.959,314.648,308.671
115,313.458,320.036,308.597,301.005,318.533,309.613,306.341,320.243,316.804,326.512,308.186,314.514,308.626
116,313.570,319.742,308.475,300.885,318.656,309.755,306.172,319.978,316.878,326.564,308.492,314.213,308.558
117,313.284,319.459,308.103,300.823,318.445,309.483,306.089,319.838,316.847,326.326,308.790,313.965,308.756
118,312.811,319.320,307.539,300.761,317.796,309.075,306.143,319.956,316.585,325.830,309.161,313.862,309.208
