 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9
111,222.155,242.302,268.491,214.442,228.711,222.399,208.960,224.194,227.552
112,221.397,241.783,268.662,214.224,228.151,221.399,209.415,223.930,227.379
113,220.832,241.322,268.730,214.198,227.994,220.133,209.604,223.892,227.215
114,220.588,241.288,268.779,214.419,228.188,218.991,209.545,224.039,227.088
115,220.256,241.611,268.674,214.785,228.328,218.702,209.438,224.090,226.960
116,219.916,241.899,268.355,215.017,228.312,219.454,209.340,224.006,227.043
117,219.750,241.974,267.991,215.173,228.311,220.564,209.315,223.962,227.356
118,219.787,241.868,267.883,215.465,228.462,221.445,209.417,224.121,227.623
119,219.866,241.912,268.006,215.941,228.527,222.000,209.527,224.311,227.578
120,219.909,242.060,268.102,216.569,228.520,222.463,209.571,224.363,227.308
121,219.799,242.212,268.125,217.020,228.370,222.601,209.683,224.283,227.054
122,219.519,242.252,268.210,216.977,228.031,222.532,209.834,224.199,227.119
123,219.076,242.194,268.244,216.442,227.443,222.505,209.921,224.180,227.353
124,218.705,242.353,268.049,215.694,227.053,222.679,210.004,224.240,227.616
125,218.741,242.768,267.953,215.003,227.160,222.757,210.228,224.356,227.701
126,219.319,243.127,268.008,214.473,227.621,222.587,210.567,224.394,227.642
127,220.093,243.157,268.006,214.391,228.044,222.243,210.816,224.262,227.493
128,220.771,243.096,267.785,214.620,228.346,222.078,210.713,223.908,227.388
129,221.254,243.234,267.340,214.742,228.761,222.349,210.252,223.667,227.235
130,221.375,243.464,266.814,214.425,229.470,222.885,209.758,223.914,227.031
131,221.304,243.580,266.511,214.076,230.239,223.119,209.436,224.649,226.962
132,221.272,243.685,266.526,214.082,231.090,223.183,209.370,225.402,227.204
133,221.487,243.894,266.587,214.422,231.877,223.289,209.466,225.985,227.616
134,221.821,244.134,266.706,214.983,232.328,223.688,209.459,226.475,228.016
135,222.138,244.322,267.041,215.850,232.289,224.225,209.224,227.049,227.958
136,222.457,244.544,267.453,216.830,231.944,224.367,208.750,227.645,227.505
137,222.709,244.716,267.642,217.207,231.654,224.005,208.296,227.938,227.092
138,222.946,244.670,267.569,216.861,231.623,223.427,207.972,227.791,227.185
139,223.181,244.500,267.395,216.280,231.813,222.931,207.727,227.392,227.682
140,223.397,244.449,267.218,215.997,231.893,222.564,207.646,227.020,228.069
141,223.649,244.588,267.174,216.210,231.778,222.096,207.688,226.791,228.118
142,223.692,244.556,267.434,216.720,231.605,221.674,207.799,226.672,227.943
143,223.306,244.250,267.855,216.963,231.664,221.440,207.758,226.625,227.746
144,222.522,243.873,268.181,216.799,231.816,221.239,207.706,226.456,227.798
145,221.703,243.605,268.407,216.533,231.736,221.161,207.548,226.195,228.069
146,221.211,243.634,268.439,216.450,231.427,221.417,207.086,225.929,228.375
147,221.310,243.861,268.293,216.601,231.221,221.977,206.468,225.994,228.481
148,221.683,243.765,268.114,216.663,231.346,222.445,206.180,226.238,228.374
149,221.950,243.003,268.139,216.516,231.321,222.344,206.483,226.334,228.249
150,221.942,241.822,268.312,216.255,230.711,221.858,207.179,226.166,228.088
151,221.640,240.967,268.372,216.119,229.754,221.528,208.000,225.819,227.926
152,221.142,240.721,268.107,216.289,229.053,221.188,208.609,225.569,227.721
153,220.800,240.817,267.634,216.810,228.842,220.867,208.963,225.593,227.419
154,221.013,240.879,267.191,217.147,228.910,220.651,209.012,225.759,227.202
155,221.687,240.984,266.939,217.193,228.926,220.495,208.739,225.749,227.467
156,222.119,241.235,267.035,217.088,228.744,220.330,208.217,225.620,228.050
157,221.931,241.632,267.462,217.142,228.303,220.151,207.702,225.589,228.384
158,221.215,242.242,267.970,217.258,227.860,220.197,207.329,225.754,228.097
159,220.440,242.891,268.390,217.303,227.829,220.505,207.177,225.961,227.516
160,219.799,243.332,268.669,217.105,228.158,220.789,207.091,226.088,227.067
161,219.330,243.363,268.796,216.912,228.460,220.693,207.310,226.245,227.005
162,219.183,242.992,268.758,216.722,228.392,220.151,207.893,226.395,226.896
163,219.160,242.371,268.736,216.459,228.070,219.518,208.718,226.483,226.483
164,219.058,241.861,269.030,216.127,227.843,219.151,209.340,226.537,226.064
165,219.050,241.735,269.672,215.768,227.999,219.110,209.394,226.641,225.856
166,219.299,241.953,270.160,215.552,228.365,219.266,209.189,226.778,225.725
