 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,MEan7,Mean8,Mean9,Mean10
56,-1.246910109,-0.031255122,0.820763013,-0.081110115,0.429743785,-0.478358008,-0.219389543,-0.572515386,-1.546416186,0.302831317
57,-1.248747257,-0.00760684,0.822274967,-0.07275749,0.408714074,-0.507173279,-0.212488486,-0.580356447,-1.561213504,0.31323877
58,-1.253250961,0.019936272,0.818794428,-0.06382387,0.392069927,-0.530694468,-0.210761719,-0.589735425,-1.567855253,0.323008961
59,-1.260575206,0.049463248,0.811057863,-0.055123401,0.380816035,-0.5477339,-0.214447604,-0.599921989,-1.568617005,0.330995257
60,-1.270502511,0.079142057,0.800055573,-0.047542672,0.375303655,-0.557822597,-0.223355342,-0.610376121,-1.56763464,0.335935164
61,-1.282581166,0.107381625,0.787345152,-0.041906335,0.375118332,-0.561084637,-0.236916505,-0.62078268,-1.569487312,0.336782559
62,-1.296147558,0.132720706,0.77437765,-0.038854813,0.379361418,-0.558176227,-0.254237487,-0.631043026,-1.578574221,0.333076813
63,-1.31034782,0.154426331,0.762506613,-0.038769641,0.386612033,-0.550093478,-0.274335584,-0.641132623,-1.597740372,0.32469414
64,-1.324421981,0.172061422,0.752633019,-0.041758253,0.395074604,-0.538324802,-0.296090156,-0.651034357,-1.627186836,0.312098059
65,-1.337814707,0.185617483,0.745089226,-0.047713389,0.403074958,-0.524348136,-0.318539807,-0.66060124,-1.664819508,0.296654524
66,-1.350098913,0.195528117,0.739830515,-0.056154296,0.409060419,-0.509514443,-0.340874021,-0.669804613,-1.706518799,0.279919273
67,-1.361222427,0.202220828,0.736138579,-0.066357401,0.412011029,-0.494901264,-0.362231913,-0.678294916,-1.747010177,0.263799833
68,-1.371132699,0.206093629,0.733266775,-0.077419243,0.411144724,-0.481275021,-0.382003055,-0.685696863,-1.779518962,0.250279104
69,-1.379946485,0.207789937,0.730177156,-0.088431324,0.406484432,-0.469070203,-0.399542221,-0.691762787,-1.798469713,0.241151459
70,-1.387830876,0.207456042,0.726067694,-0.098465954,0.398375813,-0.458247992,-0.414197457,-0.696280306,-1.799468131,0.237794691
71,-1.394750348,0.205145073,0.720379799,-0.106588413,0.387553726,-0.448443533,-0.425267993,-0.69924611,-1.781226293,0.240864421
72,-1.400725903,0.201004146,0.712905953,-0.112129032,0.37498868,-0.439092855,-0.432065224,-0.700825253,-1.743737104,0.250163053
73,-1.405566511,0.194971455,0.703723508,-0.114531797,0.361693698,-0.429730761,-0.433944472,-0.701504413,-1.689794538,0.264887391
74,-1.40902638,0.187338987,0.693297276,-0.113576433,0.348629451,-0.419869192,-0.430474212,-0.701861098,-1.624139783,0.283318051
75,-1.410887579,0.178497038,0.682279059,-0.109266198,0.336497386,-0.409417865,-0.421703475,-0.702574102,-1.55214194,0.303212457
76,-1.410913333,0.169267353,0.671057242,-0.101895598,0.325689098,-0.398423765,-0.408138021,-0.704260622,-1.480020818,0.322230223
77,-1.409198807,0.160548493,0.660392182,-0.092076708,0.316393291,-0.387200133,-0.390955951,-0.70733329,-1.412635576,0.338076244
78,-1.406048786,0.153258181,0.650530704,-0.080621074,0.308522136,-0.37628215,-0.371799265,-0.711818029,-1.35420497,0.348743709
79,-1.402198262,0.148426189,0.641520872,-0.068629745,0.3017149,-0.366083128,-0.352756607,-0.717309844,-1.307624176,0.352989687
80,-1.398683782,0.146685402,0.633278541,-0.057140606,0.295716683,-0.357017155,-0.336143483,-0.723071357,-1.274865993,0.350578646
81,-1.396701364,0.148441004,0.625494699,-0.047359853,0.290303628,-0.34928094,-0.324013981,-0.727936337,-1.256217418,0.34210425
82,-1.397582518,0.153396725,0.617824098,-0.040245625,0.285179743,-0.342787183,-0.318208205,-0.730489931,-1.25093349,0.329045475
83,-1.40223672,0.16095391,0.60970168,-0.036501925,0.280360676,-0.337216623,-0.319786456,-0.729370389,-1.25777356,0.31363748
84,-1.411353358,0.169902694,0.600824389,-0.0365628,0.275894216,-0.332231375,-0.328801139,-0.723455469,-1.274125095,0.298116656
85,-1.425111641,0.178687175,0.590832505,-0.040331797,0.272029533,-0.327268796,-0.344530488,-0.712096772,-1.297647359,0.284737961
86,-1.442999187,0.185575351,0.579555413,-0.047242388,0.268976046,-0.321714145,-0.365313442,-0.695308078,-1.325173372,0.275418899
87,-1.463895278,0.189432378,0.566928726,-0.056286724,0.267017867,-0.315211926,-0.388961397,-0.673858506,-1.353760574,0.271086771
88,-1.48626672,0.189234478,0.553177255,-0.066118326,0.266242156,-0.307435864,-0.413031136,-0.649255018,-1.379583545,0.27198544
89,-1.508526101,0.184402303,0.538570289,-0.075286085,0.266512639,-0.29858412,-0.435074463,-0.623596869,-1.400321774,0.277357831
90,-1.528816546,0.175359904,0.5236185,-0.082434748,0.26786548,-0.288891588,-0.453280487,-0.599204896,-1.413741235,0.285544432
91,-1.545597497,0.162501629,0.50872668,-0.086434017,0.269994977,-0.278823027,-0.466425912,-0.578400765,-1.418892609,0.294725647
92,-1.558077026,0.147149108,0.49461328,-0.086542041,0.272547563,-0.269150136,-0.47410789,-0.563168068,-1.41585022,0.302891678
93,-1.565694636,0.130451168,0.481745284,-0.082526823,0.275138566,-0.260510681,-0.476885152,-0.554807562,-1.405930117,0.308217815
94,-1.568913009,0.113669833,0.470843057,-0.074758676,0.277307684,-0.253464906,-0.475895269,-0.553729499,-1.392177797,0.309380736
95,-1.568564979,0.097734473,0.462394697,-0.064155974,0.278785645,-0.248639525,-0.472695308,-0.559415637,-1.378685664,0.305836715
