 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14
126,285.936,274.935,276.532,275.293,275.314,280.508,282.497,302.360,292.907,277.858,297.648,278.210,282.381,293.827
127,286.065,275.063,276.415,274.886,275.124,279.791,283.234,302.308,292.511,277.310,297.650,278.387,282.062,293.360
128,286.066,275.155,276.484,274.467,275.078,279.173,284.159,302.245,292.432,277.135,297.718,278.891,281.736,293.092
129,285.824,274.675,276.796,274.518,275.032,278.861,284.770,302.061,292.660,277.372,297.608,279.565,281.410,293.051
130,285.577,273.678,277.077,274.955,274.988,278.775,284.885,301.763,292.788,277.641,297.316,279.897,281.238,292.998
131,285.590,272.909,276.981,275.040,275.210,279.110,284.791,301.457,292.447,277.679,297.022,279.757,281.427,292.878
132,285.696,272.725,276.492,274.732,275.597,279.691,284.518,301.351,291.934,277.464,296.755,279.511,281.882,292.956
133,285.815,272.996,275.921,274.543,275.795,279.916,284.209,301.469,291.544,277.066,296.648,279.565,282.147,293.314
134,285.820,273.362,275.410,274.854,275.513,279.369,283.768,301.604,291.247,276.770,296.782,279.769,282.047,293.732
135,285.863,273.606,275.046,275.391,274.945,278.487,283.186,301.399,290.772,276.940,296.914,279.938,281.848,294.132
136,285.843,273.808,274.966,275.939,274.406,278.118,282.501,300.946,290.231,277.573,296.713,279.961,281.782,294.439
137,285.639,274.137,275.254,276.215,274.075,278.301,281.846,300.589,289.954,278.161,296.069,279.955,281.605,294.573
138,285.236,274.510,275.647,275.889,274.043,278.461,281.228,300.598,290.253,278.341,295.365,279.796,281.237,294.522
139,284.690,274.688,275.947,275.033,274.179,278.346,280.977,300.806,290.954,277.954,295.041,279.592,280.990,294.691
140,284.169,274.534,276.305,274.414,274.271,277.995,281.223,300.942,291.524,277.193,294.998,279.446,281.066,295.095
141,283.710,274.111,276.667,274.465,274.216,277.817,281.877,300.835,291.731,276.515,295.173,279.326,281.145,295.390
142,283.271,273.525,276.904,274.750,273.988,277.937,282.499,300.584,291.656,276.307,295.526,278.937,280.971,295.088
143,282.990,273.026,276.938,274.808,273.914,278.152,282.754,300.417,291.563,276.299,295.761,278.246,280.651,294.420
144,283.060,272.841,276.784,274.591,274.164,278.183,282.503,300.460,291.700,275.947,295.666,277.645,280.404,294.136
145,283.558,272.673,276.365,274.364,274.450,277.942,281.775,300.576,292.211,275.139,295.272,277.671,280.433,294.316
146,284.125,272.475,276.070,274.152,274.458,277.513,280.960,300.518,292.664,274.427,294.754,278.242,280.567,294.471
147,284.367,272.192,276.062,274.048,274.118,276.838,280.438,300.137,292.528,274.286,294.254,278.801,280.426,294.346
148,284.241,272.216,276.317,273.997,274.000,276.267,280.424,299.548,291.991,274.383,293.954,279.014,279.873,294.224
149,284.057,272.660,276.307,273.896,274.231,276.094,280.727,298.904,291.299,274.281,293.942,278.973,279.210,294.002
150,283.934,273.368,275.779,273.699,274.427,276.099,281.090,298.392,290.763,274.115,294.081,279.001,278.760,293.499
151,283.885,273.972,275.031,273.540,274.265,275.817,281.234,298.039,290.377,274.277,294.334,279.162,278.592,292.975
152,283.816,274.449,274.460,273.649,273.749,275.162,281.152,297.923,290.099,274.681,294.690,279.139,278.699,292.755
153,283.799,274.712,274.185,274.126,273.179,274.518,281.127,297.944,289.964,275.000,295.041,278.804,278.874,292.767
154,283.973,274.623,274.297,274.778,272.588,274.152,281.296,298.021,289.885,274.969,295.071,278.367,278.867,292.739
155,284.294,274.264,274.693,275.051,272.161,274.414,281.453,298.070,289.814,274.659,294.668,277.799,278.777,292.554
156,284.469,273.887,275.312,274.775,272.248,275.120,281.294,298.132,289.969,274.257,294.131,277.252,278.912,292.467
157,284.350,273.621,275.914,274.374,272.983,275.751,280.804,298.113,290.349,273.832,293.770,276.795,279.121,292.464
158,283.943,273.342,276.417,273.889,273.919,275.953,280.296,297.989,290.632,273.743,293.394,276.645,279.145,292.527
159,283.481,272.983,276.621,273.298,274.461,275.620,279.994,297.702,290.750,274.022,292.856,276.775,279.031,292.372
160,283.324,272.776,276.420,272.775,274.467,275.293,279.741,297.279,291.000,274.274,292.406,276.995,278.897,292.009
161,283.506,272.776,276.034,272.586,274.389,275.291,279.273,296.893,291.357,274.157,292.180,277.035,278.860,291.478
162,283.473,272.745,275.892,272.843,274.556,275.754,278.827,296.643,291.341,273.692,292.073,276.811,278.742,290.988
163,283.009,272.495,275.813,273.172,274.787,276.170,278.883,296.586,290.807,273.051,291.871,276.270,278.548,290.589
164,282.462,272.011,275.588,273.447,274.744,275.948,279.418,296.649,290.270,272.473,291.544,275.764,278.314,290.146
165,282.069,271.612,275.221,273.621,274.277,275.267,279.965,296.759,290.197,272.381,291.246,275.486,278.204,289.758
166,281.718,271.697,274.926,273.740,273.882,274.560,280.069,296.881,290.728,272.993,291.099,275.411,278.355,289.755
167,281.434,272.362,274.695,273.679,273.945,274.196,279.756,296.925,291.690,273.993,291.114,275.440,278.752,290.226
168,281.575,273.155,274.369,273.359,274.268,274.141,279.180,296.848,292.604,274.615,291.171,275.724,278.967,290.691
169,282.079,273.484,274.036,273.018,274.455,274.173,278.459,296.708,293.058,274.513,291.117,276.279,278.721,290.721
170,282.423,273.076,274.141,272.881,274.360,274.194,277.856,296.566,293.129,273.849,291.040,276.731,278.023,290.404
171,282.361,272.436,274.583,272.949,274.086,274.047,277.762,296.388,293.115,273.036,291.003,277.009,277.434,290.053
172,282.153,272.041,274.923,273.174,273.643,273.754,278.236,296.280,293.382,272.349,291.004,277.218,277.368,289.827
173,282.102,271.865,274.765,273.409,273.196,273.505,279.044,296.424,293.748,271.954,291.050,277.142,277.668,289.898
174,282.239,272.009,274.365,273.876,273.035,273.510,279.760,296.639,294.094,271.869,291.119,276.763,277.910,290.286
175,282.428,272.399,274.153,274.280,273.231,273.937,280.205,296.666,294.261,271.839,290.962,276.202,277.833,290.617
176,282.622,272.893,274.360,274.399,273.671,274.497,280.436,296.398,294.316,271.628,290.604,275.711,277.518,290.721
177,282.713,273.139,274.878,274.197,274.104,274.544,280.150,295.921,294.327,271.135,290.255,275.363,277.307,290.882
178,282.669,273.214,275.281,273.982,274.329,273.843,279.340,295.525,294.410,270.542,289.978,275.201,277.305,291.104
179,282.613,273.373,275.221,273.912,274.392,272.979,278.643,295.441,294.560,270.130,289.815,275.310,277.303,291.307
180,282.814,273.630,275.041,273.866,274.242,272.385,278.520,295.639,294.560,270.113,289.786,275.621,277.108,291.471
181,283.115,273.937,274.942,273.583,274.069,272.272,278.818,295.793,294.335,270.257,289.920,276.008,276.808,291.598
182,283.198,274.078,274.830,273.028,273.988,272.615,278.770,295.726,294.038,270.168,290.110,276.397,276.677,291.635
183,282.992,274.050,274.794,272.578,274.086,273.202,278.263,295.466,293.950,269.819,290.232,276.671,276.616,291.434
184,282.395,273.869,274.770,272.449,273.988,273.610,277.595,295.118,294.108,269.495,290.257,276.801,276.334,291.129
185,281.466,273.678,274.602,272.460,273.631,273.681,277.175,294.811,294.308,269.246,290.207,276.715,275.878,290.984
186,280.587,273.752,274.384,272.192,273.187,273.699,277.136,294.669,294.497,269.115,290.137,276.515,275.784,290.970
187,280.189,274.111,274.237,271.616,272.971,273.798,277.401,294.774,294.657,269.279,290.111,276.255,276.200,291.012
188,280.239,274.407,274.398,271.212,272.899,273.691,277.837,295.013,294.799,269.708,290.042,276.092,276.760,290.940
189,280.510,274.488,274.755,271.242,272.804,273.154,278.184,295.075,294.880,270.290,289.859,276.249,277.011,290.861
190,280.598,274.407,275.384,271.563,272.556,272.372,278.186,294.810,294.896,270.776,289.633,276.784,277.163,290.908
191,280.590,274.495,276.122,271.980,272.421,271.709,277.985,294.343,294.764,270.728,289.342,277.455,277.519,291.081
192,280.626,274.545,276.686,272.631,272.444,271.432,277.691,293.853,294.550,270.223,288.856,277.893,277.764,291.245
193,280.609,274.333,276.686,273.391,272.692,271.406,277.484,293.357,294.288,269.573,288.187,278.104,277.678,291.187
194,280.594,273.983,276.158,273.755,272.954,271.429,277.388,293.077,294.082,269.161,287.584,278.218,277.290,290.933
195,280.704,273.603,275.823,273.707,273.216,271.673,277.593,293.321,294.041,268.976,287.482,278.350,276.932,290.647
196,280.963,273.407,276.077,273.306,273.625,272.084,277.795,293.966,293.995,268.816,287.930,278.317,276.690,290.323
197,281.158,273.290,276.427,272.730,273.862,272.327,277.739,294.483,293.788,268.588,288.546,278.213,276.640,289.783
198,281.161,273.030,276.369,272.306,273.738,272.304,277.480,294.555,293.487,268.283,288.832,278.175,276.744,289.259
199,280.907,272.791,276.055,272.076,273.167,272.162,277.284,294.305,293.546,268.057,288.672,278.278,276.899,289.164
200,280.609,272.610,275.799,271.939,272.669,272.063,277.257,293.939,293.844,268.060,288.335,278.357,277.119,289.460
201,280.545,272.680,275.542,271.616,272.666,272.060,277.255,293.635,294.052,268.214,287.947,278.311,277.384,289.741
202,280.644,273.017,275.254,271.432,273.161,272.047,276.939,293.473,293.895,268.164,287.576,278.053,277.588,289.679
203,280.695,273.477,275.046,271.621,273.729,272.128,276.219,293.369,293.520,267.796,287.155,277.666,277.805,289.390
204,280.718,273.717,275.038,271.795,273.988,272.236,275.528,293.346,293.175,267.405,286.731,277.452,278.060,289.196
205,280.695,273.599,275.281,271.803,273.827,272.338,275.361,293.322,292.714,267.252,286.443,277.349,278.436,289.166
206,280.550,273.414,275.396,271.891,273.648,272.380,275.783,293.251,292.149,267.516,286.263,277.461,278.923,289.303
