 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15
2593,209.559,249.382,240.444,218.541,204.454,214.421,198.562,211.441,226.217,216.746,192.052,213.319,215.312,214.049,230.630
2594,209.071,250.013,240.569,218.029,204.978,214.009,198.097,211.480,226.610,216.941,191.701,213.427,215.604,214.131,230.280
2595,208.475,250.419,240.417,217.340,205.157,213.389,197.972,211.561,226.935,217.273,191.264,213.583,215.717,214.400,229.910
2596,207.870,250.656,240.215,217.037,204.939,212.918,198.180,211.666,227.180,217.534,190.804,213.906,215.555,214.422,229.521
2597,207.358,250.881,240.431,217.180,204.659,212.842,198.433,211.779,227.321,217.818,190.580,214.381,215.169,214.114,229.303
2598,207.003,251.406,240.500,217.332,204.432,212.861,198.714,212.002,227.257,218.123,190.689,214.672,214.777,214.044,229.692
2599,206.889,251.775,240.201,217.262,204.603,212.361,198.876,212.241,226.971,218.384,190.938,214.720,214.612,214.461,230.555
2600,207.201,251.599,239.882,216.770,205.231,211.389,198.954,212.559,226.540,218.406,191.082,214.535,214.572,215.090,231.038
2601,208.062,251.189,239.979,216.254,205.961,210.541,199.189,212.786,226.332,218.108,191.080,214.266,214.575,215.284,230.664
2602,209.086,251.248,240.479,216.217,205.987,210.348,199.876,212.806,226.588,217.936,191.106,214.173,214.575,215.012,229.754
2603,209.769,251.848,241.035,216.926,205.144,210.652,200.783,212.702,227.383,218.086,191.176,214.283,214.731,214.714,229.081
2604,210.037,252.809,241.854,218.299,204.109,210.826,201.263,212.651,228.523,218.466,191.316,214.503,215.321,214.400,229.057
2605,210.145,253.685,242.653,219.869,203.559,210.551,201.101,212.749,229.557,218.736,191.569,214.666,216.403,214.010,229.408
2606,210.204,254.049,242.903,220.865,203.541,210.310,200.903,212.821,230.128,218.823,191.945,214.640,217.307,213.913,230.161
2607,210.244,253.757,242.167,220.857,203.616,210.642,200.742,212.733,230.115,218.613,192.305,214.513,217.501,214.330,231.336
2608,210.241,253.253,240.806,220.238,203.489,211.285,200.636,212.437,229.623,218.138,192.493,214.539,217.074,215.138,232.327
2609,210.432,252.868,239.674,219.557,203.279,211.396,200.636,211.981,228.990,217.569,192.443,214.688,216.570,215.830,232.720
2610,210.707,252.615,239.979,219.332,203.402,210.902,200.728,211.664,228.545,217.059,192.144,214.909,216.439,215.988,232.749
2611,210.704,252.297,241.354,219.217,203.921,210.478,200.982,211.693,228.326,216.734,191.835,215.036,216.584,215.699,232.882
2612,210.244,252.028,242.590,218.971,204.288,210.598,201.134,211.898,228.299,216.633,191.642,214.913,216.833,215.369,233.066
2613,209.735,252.005,242.958,218.279,204.070,211.063,200.820,212.088,228.372,216.889,191.669,214.777,217.042,215.146,233.095
2614,209.250,252.191,242.875,217.619,203.502,211.487,199.853,212.122,228.439,217.468,191.832,214.587,217.232,215.024,232.773
2615,208.960,252.357,242.701,217.664,203.157,211.722,198.839,212.148,228.391,218.145,191.935,214.336,217.548,214.995,232.199
2616,209.015,252.243,242.465,218.303,203.402,212.057,198.465,212.140,228.154,218.601,191.819,213.959,217.748,215.214,231.649
2617,209.457,251.690,242.076,218.951,204.105,212.620,198.774,212.127,227.748,218.542,191.551,213.511,217.586,215.359,231.355
2618,209.787,250.974,241.535,219.094,204.642,213.168,199.249,212.032,227.228,218.123,191.299,213.221,216.984,215.335,231.374
2619,209.713,250.323,241.062,218.643,204.712,213.193,199.507,211.926,226.907,217.566,191.073,213.103,216.276,215.228,231.659
2620,209.377,249.902,240.729,218.119,204.402,213.117,199.470,211.651,226.821,217.256,190.737,213.099,215.771,215.095,231.602
2621,209.074,249.568,240.868,218.057,204.096,213.193,199.382,211.443,226.908,217.335,190.264,213.199,215.512,215.041,231.327
2622,208.849,249.364,241.667,218.496,203.611,213.089,199.184,211.400,227.015,217.677,189.800,213.372,215.392,214.990,230.929
2623,208.522,249.230,242.562,218.627,202.974,212.541,199.032,211.452,226.990,218.145,189.757,213.563,215.241,215.012,230.820
2624,208.343,248.920,242.736,217.975,202.511,211.896,199.005,211.420,227.024,218.355,190.217,213.588,215.218,215.129,230.900
2625,208.670,248.300,242.028,216.873,202.096,211.674,199.147,211.388,227.167,218.276,190.913,213.266,215.359,215.248,230.839
2626,209.259,247.871,241.118,216.246,201.742,212.060,199.442,211.389,227.385,218.027,191.516,212.935,215.637,215.245,230.370
2627,209.528,248.362,240.458,216.344,201.734,212.411,199.618,211.485,227.575,217.754,191.731,213.103,215.980,215.104,229.635
2628,209.275,249.829,240.236,216.758,202.210,212.519,199.650,211.605,227.646,217.603,191.677,213.640,216.441,214.985,228.962
2629,208.787,251.176,240.493,217.094,203.013,212.481,199.820,211.584,227.567,217.490,191.557,214.137,216.764,215.080,228.569
2630,208.475,251.778,241.090,216.967,203.817,212.551,200.189,211.464,227.236,217.566,191.399,214.365,216.753,215.405,228.739
2631,208.395,251.682,242.021,216.426,204.275,212.525,200.286,211.296,226.914,218.022,191.109,214.202,216.641,215.689,229.445
2632,208.627,251.411,242.799,215.820,204.594,212.354,200.060,211.249,226.695,218.498,190.903,213.883,216.508,215.913,230.389
2633,209.120,251.049,243.181,215.639,204.817,212.168,199.880,211.252,226.642,218.672,190.853,213.674,216.194,215.954,231.147
2634,209.522,250.716,242.674,215.980,204.764,212.218,200.046,211.213,226.797,218.426,190.945,213.708,215.808,215.677,231.602
2635,209.815,250.328,241.340,216.574,204.061,212.494,200.263,211.105,227.068,217.916,191.141,213.816,215.813,215.415,231.882
2636,210.071,249.891,240.021,216.844,203.061,212.756,200.138,210.967,227.269,217.448,191.566,213.889,216.100,215.451,232.090
2637,210.377,249.382,239.569,216.770,202.253,212.718,199.793,210.998,227.415,217.283,192.002,214.153,216.305,215.769,232.000
2638,210.571,248.894,239.965,216.705,202.231,212.468,199.521,211.235,227.517,217.594,192.052,214.654,216.258,215.944,231.701
2639,210.395,248.517,240.535,216.861,202.991,212.335,199.779,211.508,227.592,218.081,191.891,215.201,215.960,216.002,231.455
2640,209.898,248.871,241.062,216.918,203.729,212.759,200.124,211.760,227.489,218.360,191.666,215.395,215.508,215.908,231.318
2641,209.312,249.618,241.618,216.549,203.882,213.310,200.124,211.962,227.201,218.300,191.619,215.166,215.165,215.726,230.948
2642,209.043,250.196,242.285,216.193,203.279,213.392,199.954,212.105,226.913,218.113,191.687,214.842,215.011,215.325,230.355
2643,209.142,250.447,242.882,216.430,202.651,213.196,199.894,212.172,226.879,218.165,191.968,214.654,214.929,215.126,230.005
2644,209.552,250.742,243.160,216.926,202.777,213.076,199.954,212.138,227.265,218.436,192.263,214.695,214.849,215.284,230.137
2645,209.778,251.181,242.972,217.094,203.258,212.589,199.995,212.062,227.829,218.741,192.214,214.889,214.975,215.461,230.787
2646,209.620,251.654,242.528,216.930,203.323,211.535,199.820,211.956,227.995,218.820,191.772,215.168,215.508,215.357,231.526
2647,209.287,251.889,242.000,216.693,203.074,210.693,199.650,212.085,227.763,219.000,191.305,215.489,216.107,214.988,232.104
2648,209.269,252.258,241.611,216.705,202.961,210.547,199.613,212.462,227.621,219.340,191.097,215.684,216.396,214.617,232.564
2649,209.710,252.941,241.507,216.943,203.240,210.690,199.470,212.895,227.877,219.566,191.071,215.755,216.370,214.617,233.043
2650,210.299,253.615,241.542,217.541,203.498,210.424,199.023,213.202,228.446,219.101,190.898,215.935,216.314,214.893,233.251
2651,210.867,254.026,241.812,218.184,203.550,209.972,198.673,213.252,228.965,218.037,190.486,216.427,216.205,215.131,233.152
2652,211.327,254.336,242.125,218.734,203.629,209.769,198.793,213.036,229.201,217.143,190.237,216.866,216.245,214.995,233.043
2653,211.478,254.651,242.535,218.975,204.039,209.839,199.226,212.552,228.965,217.099,190.484,216.777,216.626,214.371,233.327
2654,211.386,254.563,242.979,219.152,204.681,209.671,199.447,211.999,228.482,217.527,190.942,215.921,217.314,213.551,234.028
2655,211.127,254.359,243.201,218.963,205.148,209.544,199.488,211.663,228.073,217.766,191.146,214.878,218.038,213.092,234.597
2656,210.914,254.486,243.174,218.361,205.227,209.601,199.793,211.794,227.886,217.707,191.055,214.455,218.334,213.187,234.209
2657,210.738,254.607,243.125,217.791,204.747,209.968,200.300,212.154,227.927,217.768,190.988,214.734,218.022,213.614,232.678
2658,210.802,254.251,243.479,217.779,203.965,210.313,200.654,212.498,228.104,217.938,191.082,215.039,217.437,214.117,230.976
2659,210.864,253.256,244.139,218.270,203.345,210.570,200.816,212.671,228.237,217.823,191.174,214.724,217.045,214.570,230.227
2660,210.750,252.191,244.611,218.439,203.354,210.949,200.899,212.805,228.517,217.411,191.140,214.271,216.902,214.733,230.521
2661,210.500,251.765,244.431,218.176,203.983,211.532,200.442,213.271,229.587,217.163,190.994,214.407,216.802,214.587,231.057
2662,210.423,252.238,243.653,217.902,204.961,212.111,199.719,214.254,232.024,217.308,190.759,215.151,216.595,214.403,231.194
2663,210.438,252.711,243.076,218.262,205.917,212.377,199.562,215.464,235.378,217.892,190.615,215.756,216.263,214.563,231.123
2664,210.401,252.550,243.215,218.873,206.707,212.684,200.065,216.318,238.599,218.692,190.593,215.801,215.840,214.782,231.218
2665,209.852,251.646,243.715,218.934,207.341,213.595,200.438,216.647,240.829,219.377,190.792,215.497,215.512,214.699,231.464
2666,208.620,250.623,243.569,218.283,207.668,215.003,200.180,216.746,242.076,219.591,190.979,215.180,215.445,214.731,231.730
2667,207.194,249.935,242.674,217.705,207.633,216.139,199.290,217.044,242.828,219.219,191.158,215.000,215.428,215.114,231.957
2668,206.296,249.801,242.090,217.721,207.279,216.557,198.779,217.783,243.711,218.584,191.232,214.976,215.461,215.672,232.265
2669,206.185,250.010,242.188,217.684,206.961,216.715,198.825,218.619,244.908,218.281,190.953,215.125,215.731,215.903,232.427
2670,206.636,249.969,242.653,217.217,206.939,217.060,199.065,219.117,246.133,218.682,190.338,215.383,216.218,215.944,232.237
2671,207.028,249.633,242.688,216.832,207.096,217.699,199.023,219.184,247.058,219.409,189.841,215.688,216.432,216.073,231.758
2672,207.133,249.289,242.382,216.668,207.441,218.215,198.940,219.081,247.617,220.002,189.721,216.137,216.109,216.158,231.118
2673,207.111,249.307,242.076,216.508,208.253,218.506,198.848,219.026,248.036,220.096,189.821,216.741,215.512,215.934,230.749
