 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15
73,390.419,371.141,387.224,374.835,369.018,380.101,373.486,367.576,368.460,364.827,367.009,374.229,367.188,375.954,368.831
74,389.415,371.565,387.306,374.644,369.858,380.118,374.119,367.840,368.564,364.862,367.335,373.701,367.121,375.558,367.945
75,388.711,371.675,387.479,374.426,370.685,380.112,374.531,367.733,369.368,364.876,367.491,372.718,366.891,375.335,367.994
76,388.433,371.812,387.633,374.266,371.311,379.931,374.580,367.507,370.647,365.108,367.824,372.162,366.484,375.325,368.806
77,388.809,371.780,387.626,374.266,371.740,379.504,374.465,367.325,371.788,365.230,368.571,371.993,366.390,375.251,369.546
78,389.859,371.560,387.450,374.557,371.731,379.112,374.432,367.333,372.276,364.803,369.477,371.905,366.805,375.020,369.773
79,390.852,371.534,387.317,374.914,371.676,378.887,374.313,367.635,371.675,363.922,369.943,371.880,367.464,374.805,369.717
80,390.996,371.592,387.393,374.759,371.653,378.619,374.078,368.000,370.402,363.216,369.719,371.831,367.844,374.954,369.593
81,389.841,371.639,387.534,374.263,371.557,378.153,373.774,368.197,369.491,362.786,368.972,371.673,367.827,375.495,369.341
82,388.083,371.293,387.511,374.086,371.511,377.738,373.815,368.203,369.313,362.600,368.074,371.475,367.531,376.096,369.089
83,386.993,370.644,387.301,374.269,371.607,377.576,374.041,367.867,369.454,362.814,367.344,371.285,367.079,376.302,369.313
84,386.881,369.995,387.155,374.383,371.708,377.674,374.169,367.269,369.160,363.622,367.244,371.243,366.417,375.959,370.025
85,387.325,369.696,387.130,374.176,371.324,377.960,374.115,366.765,368.359,365.024,367.801,371.187,365.716,375.302,370.801
86,387.809,369.613,387.085,373.872,370.607,378.236,373.930,366.323,367.620,366.265,368.537,371.144,365.593,374.810,371.042
87,388.152,369.424,386.971,373.769,369.836,378.363,373.819,365.888,367.405,366.608,368.878,371.394,366.146,374.741,370.726
88,388.007,369.152,386.914,374.009,369.219,378.439,373.959,365.653,367.791,366.124,368.636,372.338,366.906,374.746,369.992
89,387.141,369.508,387.061,374.377,368.635,378.598,374.181,366.032,368.577,365.319,368.145,373.451,367.551,374.693,369.144
90,385.888,370.838,387.851,374.563,368.128,378.843,374.095,366.592,369.472,364.519,367.963,374.278,368.116,374.746,368.582
91,385.213,372.801,390.319,374.496,367.630,378.848,374.115,367.195,370.442,364.035,368.273,374.789,368.800,374.934,368.385
92,384.682,374.743,395.698,374.747,367.502,378.792,374.765,368.131,371.540,363.735,368.622,375.472,369.361,375.302,367.884
93,383.805,376.812,403.723,375.944,368.447,379.639,376.560,369.189,372.758,363.289,368.517,376.662,369.338,375.893,366.922
94,382.401,379.084,412.262,378.098,370.763,382.107,379.695,369.781,373.779,362.932,368.236,378.644,368.810,376.678,365.859
95,381.007,381.628,419.466,380.591,373.493,385.710,383.280,369.651,374.288,363.162,368.185,381.141,368.449,377.558,365.271
96,380.307,384.058,424.975,382.835,375.411,389.480,386.321,369.312,374.831,363.873,368.520,383.504,368.494,378.584,365.535
97,381.000,386.136,429.281,384.635,376.137,392.923,388.416,369.552,375.813,364.927,368.889,385.542,368.568,379.827,366.271
98,383.101,387.791,432.733,385.997,376.187,396.044,389.461,370.555,377.172,366.130,368.878,387.475,368.343,380.982,367.047
99,385.960,389.293,435.661,387.257,376.160,398.792,389.580,372.355,378.690,367.324,368.622,389.683,368.059,382.127,368.130
