 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
84,462.792,519.096,466.378,454.403,441.347,456.968,452.383,448.888,444.902,438.791,449.384,442.317
85,462.811,517.894,465.118,453.846,441.468,455.880,451.723,448.439,444.896,438.579,449.159,442.876
86,463.246,516.748,464.513,453.972,441.162,454.359,450.665,448.762,444.653,438.546,448.833,442.970
87,463.543,515.876,464.603,454.370,440.613,453.345,449.723,449.074,444.313,438.818,448.964,442.136
88,463.215,515.240,464.791,454.252,440.074,453.099,449.247,449.115,444.149,439.012,449.856,440.778
89,462.335,514.516,464.538,453.602,439.917,452.877,449.195,449.212,443.928,438.812,451.047,440.101
90,461.607,513.761,463.867,452.835,440.291,451.968,449.430,449.167,443.521,438.412,451.775,440.456
91,461.947,513.144,463.338,452.317,440.995,451.063,449.814,448.691,442.991,438.239,451.706,441.260
92,463.636,512.533,463.492,451.877,441.342,451.433,449.918,448.149,443.028,438.000,450.818,441.808
93,466.069,511.813,464.622,451.373,440.773,453.905,449.245,447.762,443.928,437.663,449.781,442.074
94,468.413,511.374,466.701,450.838,439.534,457.958,448.264,447.465,445.221,437.740,449.442,442.322
95,470.454,511.546,469.598,450.294,438.241,461.982,447.667,447.398,446.221,438.788,450.013,442.728
96,472.275,512.126,473.006,450.151,437.135,464.662,447.476,447.978,446.889,440.137,450.940,442.926
97,473.889,512.580,476.305,450.490,436.376,466.236,447.168,448.680,447.487,440.803,451.910,442.553
98,474.902,512.685,479.090,451.129,436.300,467.042,446.744,449.019,448.002,440.851,452.481,441.734
99,475.248,512.479,481.154,451.936,436.730,467.169,446.709,448.907,448.228,441.203,452.534,440.965
100,475.231,512.163,482.398,452.661,436.836,466.553,447.174,448.721,448.277,442.367,452.281,440.535
101,475.180,511.957,482.945,452.936,436.390,465.940,447.580,448.439,448.294,443.890,451.906,440.367
102,475.350,511.992,482.977,452.384,436.088,465.722,447.562,448.022,448.483,445.069,451.348,440.337
103,475.577,512.146,482.934,451.303,436.538,465.641,447.309,447.691,448.836,445.352,450.768,440.627
104,475.472,512.150,482.808,450.084,437.277,465.296,447.089,447.409,449.404,444.582,450.631,441.154
105,474.862,511.914,482.474,449.081,437.676,464.785,447.074,447.364,449.694,443.767,450.899,441.917
106,474.157,511.488,481.829,448.669,437.336,464.215,447.312,447.472,449.011,443.907,451.361,442.695
107,473.780,510.983,481.186,448.647,436.705,463.504,447.414,447.810,447.519,445.009,452.178,443.222
108,473.556,510.420,480.855,448.765,436.372,462.842,447.042,448.067,446.064,446.131,453.393,443.429
109,473.472,509.963,480.848,448.913,436.439,462.243,446.364,447.736,445.328,446.433,454.485,443.651
110,473.437,509.945,481.357,449.457,436.556,461.394,446.226,446.848,445.423,445.970,454.914,444.530
111,473.512,510.346,483.017,450.731,436.446,460.384,447.035,446.071,446.068,445.218,454.749,445.908
112,473.636,510.896,486.008,452.401,436.225,459.711,448.502,445.632,446.915,444.531,454.586,446.935
113,473.820,511.403,489.233,453.269,435.998,459.718,450.077,444.996,447.426,443.884,454.502,447.183
114,473.832,511.749,491.447,452.700,435.977,460.197,451.553,444.178,447.170,443.352,454.103,446.817
115,473.495,511.812,492.827,451.146,436.286,460.405,452.626,444.238,446.415,443.060,453.446,446.243
116,472.951,511.690,494.235,449.599,437.007,460.208,453.158,445.439,445.772,442.931,452.835,445.861
117,472.661,511.852,495.577,448.877,437.698,459.849,453.170,446.606,445.723,442.567,452.635,445.497
118,473.173,512.684,496.086,449.190,437.912,459.694,453.058,446.617,446.151,441.904,452.936,444.950
119,474.585,513.992,495.633,450.224,437.856,459.567,453.055,445.736,446.430,441.618,453.577,444.704
120,476.268,515.421,494.609,451.479,438.207,458.919,453.136,444.524,446.272,441.743,454.240,445.234
121,477.397,516.684,493.385,452.723,439.025,457.743,453.106,443.454,445.868,441.833,454.333,446.157
122,477.434,517.900,492.271,453.714,440.200,456.613,452.935,443.130,445.887,441.528,453.796,446.769
123,476.597,518.814,491.378,454.395,441.556,456.169,452.650,443.877,446.372,441.403,453.217,446.660
124,475.698,519.191,490.541,454.681,443.086,456.486,452.192,445.442,447.013,441.540,453.026,445.893
125,475.304,519.064,489.711,454.740,444.761,457.137,451.615,446.788,447.294,441.513,452.794,444.808
126,475.310,518.577,489.051,454.829,446.493,457.363,451.439,446.814,447.081,441.122,451.800,443.893
127,475.301,517.724,488.320,455.045,448.074,456.539,451.673,445.993,446.602,440.803,450.135,443.459
128,475.011,516.658,487.235,455.218,449.414,455.014,452.005,445.736,445.987,440.896,448.762,443.450
129,474.444,515.596,485.891,455.409,450.687,454.032,451.991,446.494,445.353,441.304,448.457,443.627
130,473.692,514.580,484.342,455.532,451.716,453.849,451.794,447.558,444.619,441.922,448.880,443.672
131,472.652,513.588,482.799,455.448,452.176,453.761,451.697,448.390,443.898,442.454,448.968,443.373
132,471.472,512.581,481.739,454.854,451.959,453.313,451.650,448.985,443.451,442.504,448.504,442.820
133,470.457,511.735,481.374,454.300,451.392,452.754,451.223,449.204,443.457,442.090,448.273,442.379
134,469.982,511.302,481.137,453.919,450.628,452.232,450.327,449.230,443.674,441.618,448.861,442.121
135,470.122,511.210,480.654,453.563,450.110,451.658,449.312,449.257,443.798,441.660,449.867,441.751
136,470.441,511.023,479.985,452.978,450.025,451.021,448.432,449.740,443.679,442.582,450.433,441.305
137,470.490,510.396,479.030,452.437,450.149,450.771,447.897,450.331,443.423,443.931,450.290,440.796
138,470.047,509.297,477.799,452.062,449.964,451.275,447.895,450.301,443.338,444.803,449.680,440.216
139,469.124,508.073,476.263,451.605,449.345,452.511,448.261,449.617,443.455,444.693,449.195,439.728
140,468.144,507.071,474.620,451.112,448.716,453.687,448.717,449.171,443.732,444.069,448.953,439.760
141,467.816,506.868,473.404,451.476,448.401,454.155,448.844,449.628,444.040,443.546,448.807,440.580
142,468.607,507.953,472.769,453.025,448.527,453.525,448.711,450.691,444.279,443.764,448.863,441.914
143,470.361,510.451,472.449,454.891,448.773,452.102,448.683,451.684,444.409,444.678,449.185,443.420
144,472.656,513.803,472.241,456.064,448.631,450.676,448.771,452.357,444.438,445.893,449.710,444.296
145,475.031,517.044,471.992,456.602,447.948,449.486,448.768,452.736,444.502,446.618,450.403,443.811
146,477.126,519.529,471.539,457.017,447.054,448.461,448.547,452.870,444.777,446.561,450.972,442.231
147,478.750,521.084,471.077,457.787,446.401,447.827,448.132,453.093,445.174,446.275,451.335,440.760
148,479.765,521.753,471.068,458.493,446.052,447.856,447.476,453.532,445.340,446.543,451.009,440.254
149,480.406,521.467,471.440,458.655,445.953,448.433,446.945,454.305,444.874,447.496,450.139,440.101
150,480.913,520.421,471.547,457.978,445.957,448.908,446.871,455.245,444.117,448.230,449.399,439.808
151,481.401,519.176,471.165,456.706,446.122,449.190,447.085,456.320,443.794,448.690,449.315,439.157
152,481.481,518.228,470.447,455.672,446.628,449.595,447.141,456.944,444.143,448.881,449.564,438.766
153,480.845,517.831,469.765,455.451,447.381,450.151,446.700,456.777,444.770,448.654,449.605,439.006
154,479.725,517.657,469.466,456.020,448.050,450.475,445.994,455.911,445.102,448.090,449.513,439.645
155,478.627,517.194,469.462,456.874,448.604,449.982,445.433,454.855,444.702,447.481,449.530,439.976
156,477.913,516.309,469.346,457.585,448.775,448.979,445.288,454.164,443.479,446.872,449.740,439.852
157,477.867,515.314,469.066,457.964,448.532,448.278,445.298,453.784,442.057,446.027,450.172,439.692
158,478.503,514.512,468.624,458.095,447.840,448.549,445.195,453.379,441.098,445.239,450.687,439.609
159,479.610,513.763,467.953,457.899,447.092,449.514,445.048,452.907,440.623,444.794,451.139,439.328
160,481.056,512.805,467.235,457.398,446.453,450.387,445.009,452.803,440.566,444.475,451.335,439.015
161,482.829,511.620,466.759,456.950,445.372,450.817,445.065,453.223,440.762,443.913,451.225,439.260
162,484.639,510.452,466.312,456.723,443.705,451.021,445.150,453.628,441.036,443.263,451.101,439.929
163,486.047,509.358,465.831,456.866,442.140,450.799,445.233,453.580,441.306,443.030,451.099,440.382
164,486.918,508.627,465.301,457.359,441.318,449.856,445.379,453.253,441.804,443.555,450.983,440.349
165,487.958,508.657,464.600,457.759,441.214,448.725,445.795,453.305,442.772,444.457,451.077,440.281
166,489.760,509.474,463.966,457.493,441.590,447.866,446.529,453.610,443.879,445.063,452.084,440.444
167,492.115,510.572,463.536,456.557,442.178,447.391,447.739,453.398,444.336,445.328,454.240,440.689
168,494.015,511.425,463.051,455.137,443.011,446.951,449.176,452.320,443.932,445.337,456.657,440.728
169,494.995,511.836,462.429,453.782,444.241,446.644,450.389,451.175,443.451,445.021,458.487,440.506
170,495.373,511.935,462.032,453.036,445.867,446.588,451.042,450.628,443.687,444.376,459.324,440.349
171,495.455,511.978,462.100,453.092,447.444,446.785,451.197,450.297,444.706,443.722,459.659,440.808
172,495.173,512.235,462.502,453.725,448.471,446.778,451.055,449.613,445.815,443.743,459.833,441.672
173,494.610,512.728,462.949,454.473,448.689,446.363,450.676,449.108,446.343,444.737,459.848,442.095
174,494.135,513.132,463.233,454.944,448.322,445.901,450.150,449.093,446.174,445.982,459.590,441.598
175,493.882,513.144,463.406,454.966,447.926,445.525,449.536,449.312,445.264,446.710,459.313,440.855
176,493.506,512.767,463.258,454.709,447.752,445.085,449.127,449.309,444.057,446.848,459.204,440.612
177,492.661,512.213,462.624,454.364,447.660,445.056,449.226,448.725,443.283,446.585,459.028,441.009
178,491.277,511.524,461.521,453.919,447.437,445.771,449.709,448.078,443.217,446.454,458.742,441.334
179,489.709,510.801,460.370,453.283,447.137,446.775,450.286,447.565,443.506,446.624,458.397,441.207
180,488.439,510.130,459.669,452.602,447.063,447.320,450.908,446.981,443.798,447.063,458.092,440.849
181,487.539,509.532,459.575,451.966,447.446,447.310,451.458,446.539,444.123,447.385,457.929,440.672
182,486.811,508.778,459.853,451.465,448.227,447.134,451.597,446.758,444.515,447.269,457.599,440.734
183,486.098,507.756,460.209,450.790,448.905,447.187,450.945,447.316,444.872,446.585,456.848,440.648
184,485.647,506.644,460.521,450.132,448.984,447.278,449.676,447.245,445.034,445.254,456.255,440.393
185,485.652,505.719,460.705,449.924,448.248,447.493,448.553,446.297,445.030,443.504,456.049,440.092
186,485.743,505.128,460.650,450.168,447.209,447.609,448.112,445.130,444.691,441.681,455.807,440.077
187,485.111,504.771,460.524,450.751,446.577,447.180,448.385,444.740,444.077,440.281,455.230,440.210
188,483.401,504.636,460.585,451.462,446.644,446.342,449.032,444.844,443.264,439.734,454.732,440.328
189,481.350,504.633,460.840,451.975,447.088,445.729,449.608,445.045,442.434,439.955,454.657,440.435
190,479.772,504.565,461.105,451.961,447.428,445.570,449.688,445.108,441.621,440.803,454.665,440.645
191,478.714,504.119,461.103,451.370,447.295,445.701,449.109,445.561,441.332,441.836,454.554,441.086
192,477.869,503.258,460.598,450.807,446.845,446.394,448.126,446.792,441.764,442.615,454.275,441.672
