 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6
253,429.860,442.550,405.088,419.295,415.609,429.953
254,429.919,442.846,405.275,419.038,416.000,430.009
255,430.093,442.905,405.285,418.598,416.399,430.064
256,430.229,442.623,405.251,418.391,416.718,429.835
257,430.141,442.210,405.317,418.639,416.994,429.234
258,429.868,441.894,405.607,419.164,417.267,428.546
259,429.702,441.702,405.835,419.511,417.337,428.079
260,429.761,441.636,405.683,419.548,417.133,428.002
261,429.936,441.770,405.335,419.548,416.803,428.030
262,430.186,442.105,405.082,419.540,416.525,428.010
263,430.494,442.306,404.941,419.449,416.073,427.970
264,430.578,442.255,404.926,419.202,415.476,427.943
265,430.175,442.158,404.973,418.883,415.052,427.891
266,429.437,442.387,404.965,418.514,414.984,427.847
267,428.904,442.905,404.830,418.337,415.108,427.887
268,428.885,443.479,404.624,418.351,415.284,428.060
269,429.292,443.947,404.372,418.589,415.552,428.377
270,429.945,444.273,404.200,418.933,415.933,428.726
271,430.455,444.403,404.373,419.126,416.308,428.867
272,430.535,444.450,404.769,418.929,416.567,428.753
273,430.312,444.381,405.024,418.500,416.577,428.310
274,429.875,444.317,404.948,418.124,416.365,427.776
275,429.354,444.196,404.655,417.898,416.163,427.544
276,428.824,443.983,404.347,417.691,416.119,427.561
277,428.413,443.770,404.159,417.452,416.238,427.498
278,428.156,443.735,404.142,417.366,416.377,427.229
279,428.150,444.047,404.350,417.559,416.381,426.931
280,428.203,444.612,404.564,417.739,416.208,426.798
281,428.283,444.941,404.579,417.780,416.175,426.779
282,428.382,444.635,404.488,417.740,416.370,426.865
283,428.548,443.764,404.500,417.676,416.641,426.923
284,428.756,442.871,404.688,417.560,416.686,427.049
285,428.843,442.151,404.982,417.510,416.344,427.465
286,428.615,441.696,405.159,417.512,415.998,428.125
287,428.392,441.416,405.131,417.482,416.125,428.631
288,428.433,441.465,405.016,417.440,416.548,428.848
289,428.681,441.886,404.874,417.560,416.706,428.823
290,429.072,442.423,404.809,417.654,416.325,428.646
291,429.393,442.965,404.810,417.402,415.762,428.421
292,429.514,443.348,404.884,416.883,415.412,428.258
293,429.236,443.417,404.920,416.419,415.328,428.134
294,428.651,443.209,404.778,416.156,415.466,428.140
295,428.011,442.747,404.599,415.970,415.630,428.335
296,427.767,442.039,404.493,415.913,415.654,428.618
297,428.088,441.118,404.516,415.958,415.691,428.798
298,428.684,440.578,404.786,416.063,415.831,428.897
299,429.123,440.832,405.201,416.153,416.024,428.875
300,429.217,441.383,405.524,416.414,416.167,428.823
301,429.174,441.671,405.370,416.898,416.076,428.863
302,429.223,441.620,404.799,417.464,415.661,429.008
303,429.249,441.393,404.209,417.690,415.053,429.077
304,429.244,441.124,403.963,417.545,414.621,429.044
305,429.273,440.935,404.226,417.393,414.450,429.060
306,429.403,440.829,404.969,417.432,414.523,429.096
307,429.503,440.708,405.756,417.611,414.708,429.298
308,429.485,440.512,406.065,417.760,414.838,429.586
309,429.424,440.449,405.821,417.855,414.849,429.887
310,429.491,440.577,405.095,418.016,414.806,429.999
311,429.613,440.774,404.482,418.336,414.696,429.857
312,429.601,440.935,404.262,418.690,414.749,429.545
313,429.388,440.970,404.451,418.658,415.029,429.294
314,429.173,440.931,404.586,418.426,415.465,429.192
315,429.351,440.891,404.716,418.387,415.702,429.137
316,429.992,441.098,404.835,418.811,415.537,429.003
317,430.655,441.512,405.000,419.372,415.099,429.025
318,430.850,441.797,405.126,419.686,414.712,429.294
319,430.515,441.727,405.248,419.601,414.641,429.485
320,430.113,441.383,405.342,419.157,414.934,429.336
321,430.098,440.921,405.149,418.545,415.327,428.957
322,430.509,440.517,404.596,418.236,415.650,428.756
323,430.931,440.453,403.962,418.541,415.970,428.947
324,431.045,440.807,403.718,419.038,416.216,429.073
325,430.757,441.135,404.038,419.146,416.130,428.841
326,430.267,441.271,404.692,418.910,415.738,428.503
327,429.975,441.289,405.271,418.699,415.310,428.362
328,430.218,441.186,405.444,418.760,415.044,428.494
329,430.807,440.999,405.266,418.861,414.863,428.624
330,431.350,440.773,405.081,418.906,414.778,428.455
331,431.433,440.872,404.901,418.988,414.897,428.073
332,431.249,441.368,404.644,419.245,415.246,427.741
333,431.123,441.993,404.208,419.434,415.716,427.547
334,431.145,442.131,403.747,419.458,416.107,427.445
335,431.267,441.627,403.476,419.157,416.333,427.408
336,431.383,440.976,403.538,418.698,416.413,427.378
337,431.553,440.672,403.965,418.402,416.440,427.407
338,431.741,440.781,404.465,418.251,416.418,427.333
339,432.057,441.083,404.792,418.083,416.358,427.079
340,432.346,441.361,404.882,417.930,416.448,426.834
341,432.598,441.519,404.878,418.023,416.805,426.742
342,432.770,441.532,404.844,418.281,417.446,426.914
343,432.670,441.361,404.687,418.538,418.167,427.141
344,432.379,441.158,404.299,418.723,418.692,427.112
345,432.089,440.973,403.724,418.827,418.846,426.894
346,431.928,440.912,403.242,418.880,418.583,426.612
347,431.821,440.965,403.152,419.094,418.079,426.298
348,431.941,441.128,403.557,419.437,417.576,426.012
349,432.297,441.337,404.207,419.679,417.444,426.000
350,432.664,441.751,404.602,419.650,417.588,426.250
351,432.872,442.401,404.601,419.500,417.681,426.592
352,432.866,442.885,404.323,419.520,417.674,426.934
353,432.820,442.976,404.078,419.635,417.716,427.082
354,432.926,442.573,403.958,419.690,417.940,427.143
355,433.190,441.846,403.875,419.698,418.179,427.274
356,433.630,441.199,403.940,419.786,418.361,427.616
357,434.099,441.030,404.112,420.041,418.240,428.076
358,434.388,441.132,404.104,420.201,417.744,428.543
359,434.470,441.367,403.957,420.113,417.108,428.853
360,434.351,441.770,403.949,419.734,416.660,428.777
361,434.108,442.475,403.953,419.138,416.476,428.401
362,433.868,443.245,403.677,418.611,416.540,428.150
363,433.770,443.714,403.177,418.336,416.875,428.111
364,433.717,443.738,402.838,418.445,417.424,428.155
365,433.524,443.683,403.110,418.746,417.882,427.980
366,433.314,443.701,403.888,419.064,418.113,427.771
367,433.331,443.580,404.599,419.414,418.228,427.659
368,433.509,443.229,404.950,419.817,418.249,427.649
369,433.661,442.930,405.007,419.932,418.055,427.566
370,433.555,443.016,404.832,419.564,417.671,427.498
371,433.147,443.397,404.472,418.986,417.337,427.566
372,432.728,443.548,404.038,418.669,417.222,427.762
373,432.588,443.414,403.665,418.724,417.273,427.956
374,432.606,443.209,403.425,418.990,417.418,427.991
375,432.637,443.286,403.379,419.135,417.626,427.791
376,432.640,443.738,403.660,419.056,417.986,427.472
377,432.605,444.318,404.114,418.663,418.290,427.239
378,432.480,444.685,404.547,418.337,418.285,427.206
379,432.355,444.660,404.977,418.327,417.972,427.221
380,432.246,444.328,405.267,418.585,417.591,427.196
381,431.916,443.754,405.338,418.795,417.282,427.217
382,431.509,443.219,405.143,418.852,417.125,427.447
383,431.278,443.083,404.770,418.988,417.132,427.861
384,431.285,443.380,404.432,419.436,417.363,428.387
385,431.397,443.891,404.238,419.934,417.571,428.938
386,431.602,444.380,404.168,420.105,417.585,429.369
387,431.700,444.606,404.018,419.831,417.553,429.471
388,431.542,444.472,403.771,419.411,417.677,429.119
389,431.277,444.033,403.639,419.001,418.100,428.553
390,431.181,443.563,403.687,418.770,418.688,428.079
391,431.354,443.157,403.792,418.921,419.308,427.874
392,431.736,442.833,403.898,419.348,419.839,427.772
393,432.214,442.384,404.046,419.600,420.025,427.606
394,432.584,441.908,404.302,419.501,419.832,427.585
395,432.605,441.630,404.741,419.389,419.490,427.859
396,432.378,441.612,405.021,419.441,419.392,428.205
397,432.137,441.639,404.774,419.511,419.357,428.325
398,432.118,441.617,404.122,419.616,419.221,428.064
399,432.234,441.482,403.533,419.936,419.165,427.603
400,432.334,441.144,403.379,420.329,419.323,427.355
401,432.540,440.747,403.510,420.499,419.514,427.460
402,432.820,440.593,403.702,420.275,419.256,427.726
403,432.971,441.059,403.707,420.051,418.785,427.785
404,432.849,441.750,403.621,419.959,418.633,427.580
405,432.694,442.099,403.686,419.907,418.944,427.263
406,432.535,441.895,404.078,419.858,419.290,427.280
407,432.291,441.532,404.416,419.773,419.389,427.600
408,431.989,441.344,404.351,419.505,419.352,427.927
409,431.699,441.286,403.980,419.100,419.431,427.978
410,431.485,441.420,403.584,418.753,419.416,427.853
411,431.494,441.835,403.220,418.672,419.023,427.609
412,431.639,442.212,402.999,418.821,418.440,427.169
413,431.734,442.342,403.092,418.923,418.118,426.639
