 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17
98,514.936,496.576,507.435,508.502,517.278,512.232,494.145,504.679,526.896,523.513,516.238,504.203,492.550,489.056,500.444,517.884,502.572
99,515.184,496.962,507.747,508.255,517.270,512.294,493.818,505.369,526.555,523.511,516.526,504.156,491.901,488.341,500.964,518.035,502.875
100,514.969,497.514,507.733,508.363,516.825,512.191,493.997,505.826,526.219,522.979,516.445,503.813,491.036,488.025,501.462,517.941,503.162
101,514.496,497.733,507.418,508.845,516.164,511.997,494.019,505.873,525.635,522.249,516.186,503.439,490.559,488.056,501.792,517.591,503.174
102,513.997,497.375,507.081,509.542,515.710,511.617,493.595,505.635,524.986,521.717,516.126,503.307,490.867,488.152,501.900,516.935,502.768
103,513.627,496.815,506.772,509.907,515.717,511.037,493.086,505.448,524.657,521.581,516.211,503.370,491.755,488.049,501.614,516.331,502.162
104,513.490,496.574,506.081,509.610,515.985,510.439,493.070,505.440,524.872,521.683,516.253,503.508,492.576,487.900,500.824,516.057,501.504
105,513.548,496.813,505.081,508.809,516.000,510.108,493.244,505.385,525.442,521.445,516.250,503.777,492.683,487.966,500.011,516.002,501.004
106,513.485,497.236,504.386,508.173,515.550,509.995,493.239,505.002,526.073,520.768,516.335,504.125,491.814,488.047,499.487,515.886,500.898
107,513.264,497.371,504.340,507.965,515.290,509.886,493.223,504.782,526.248,520.072,516.251,504.245,490.620,487.975,498.946,515.750,501.191
108,513.041,497.109,504.737,508.156,515.502,509.876,493.376,505.084,525.742,519.655,515.826,504.038,489.734,487.620,498.446,515.724,501.717
109,512.821,496.699,505.147,508.454,516.040,510.318,493.574,505.617,524.839,519.477,515.211,503.492,489.375,487.100,498.424,515.846,502.115
110,512.523,496.425,505.460,508.739,516.454,510.998,493.391,505.965,523.858,519.432,514.731,502.964,489.278,486.544,499.056,516.031,502.078
111,512.150,496.461,506.035,509.111,516.476,511.116,493.030,505.976,523.147,519.445,514.642,502.996,489.460,486.223,499.913,516.203,501.621
112,511.856,496.671,506.744,509.502,516.311,510.730,493.126,505.846,522.861,519.379,514.979,503.405,489.748,486.076,500.487,516.183,500.953
113,511.814,497.141,507.474,509.451,515.995,510.394,493.807,505.701,522.919,519.100,515.418,503.546,489.787,486.005,500.723,516.024,500.410
114,511.952,497.559,508.102,508.741,515.482,510.325,494.458,505.745,523.037,518.453,515.567,503.187,489.525,486.157,500.953,515.894,500.279
115,512.259,497.603,508.656,507.935,514.961,510.394,494.700,505.881,522.761,517.677,515.286,502.617,489.409,486.466,501.112,515.719,500.502
116,512.540,497.428,509.225,507.569,514.665,510.542,494.595,505.923,522.142,517.266,514.793,502.403,489.741,486.821,500.846,515.703,500.705
117,512.669,497.322,510.067,507.581,514.566,510.791,494.252,506.057,521.719,517.545,514.234,502.503,490.341,487.051,500.205,515.896,500.721
118,512.685,497.351,511.042,507.684,514.577,510.928,493.928,506.672,521.882,518.136,513.868,502.528,490.811,487.157,499.817,516.215,500.543
