 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7
352,423.412,421.509,420.670,423.899,426.409,422.032,421.121
353,423.150,421.220,420.353,423.966,426.183,422.108,420.886
354,422.850,420.866,420.024,424.272,425.801,422.059,420.852
355,422.764,420.720,419.872,424.707,425.357,422.008,421.057
356,422.702,420.964,419.937,424.895,425.026,421.990,421.326
357,422.478,421.527,420.157,424.666,424.854,421.850,421.582
358,422.232,421.944,420.476,424.264,424.904,421.514,421.833
359,422.226,421.815,420.707,423.961,425.136,421.119,422.069
360,422.589,421.290,420.719,424.013,425.507,420.813,422.081
361,423.129,420.798,420.577,424.232,425.806,420.765,421.934
362,423.578,420.578,420.423,424.379,425.825,420.938,421.732
363,423.707,420.675,420.320,424.397,425.636,421.297,421.522
364,423.515,420.971,420.098,424.480,425.451,421.773,421.206
365,423.258,421.376,419.865,424.699,425.302,422.167,420.943
366,423.151,421.789,419.752,424.889,425.150,422.324,420.754
367,423.252,421.951,419.802,424.992,425.078,422.257,420.611
368,423.332,421.830,419.752,425.201,425.096,422.143,420.472
369,423.206,421.581,419.464,425.550,425.092,421.968,420.453
370,423.001,421.412,419.385,425.764,424.881,421.706,420.602
371,422.829,421.311,419.795,425.664,424.574,421.555,420.944
372,422.773,421.106,420.409,425.440,424.479,421.636,421.236
373,422.785,420.755,420.695,425.270,424.773,421.889,421.406
374,422.767,420.354,420.655,425.052,425.129,422.186,421.516
375,422.620,420.177,420.701,424.765,425.224,422.427,421.736
376,422.369,420.375,420.957,424.675,425.100,422.612,422.004
377,422.277,420.862,421.330,424.869,425.152,422.757,422.150
378,422.392,421.478,421.626,425.147,425.468,422.797,422.234
379,422.362,421.935,421.617,425.191,425.884,422.747,422.359
380,421.941,421.905,421.483,425.078,426.179,422.621,422.379
381,421.551,421.372,421.588,424.874,426.213,422.401,422.182
382,421.585,420.646,421.864,424.661,426.010,422.125,421.816
383,421.940,420.008,421.954,424.426,425.868,421.853,421.645
384,422.305,419.747,421.677,424.213,425.851,421.595,421.817
385,422.509,419.942,421.168,424.045,425.887,421.431,422.163
386,422.434,420.390,420.705,423.830,425.853,421.331,422.315
387,422.104,420.839,420.468,423.781,425.651,421.405,422.089
388,421.705,421.154,420.390,423.983,425.381,421.619,421.579
389,421.519,421.345,420.399,424.299,425.313,421.921,421.161
390,421.498,421.500,420.312,424.607,425.447,422.118,421.158
391,421.444,421.525,420.028,424.934,425.458,422.069,421.552
392,421.373,421.380,419.643,425.337,425.227,421.831,422.104
393,421.334,421.065,419.563,425.557,424.995,421.569,422.451
394,421.486,420.653,419.987,425.488,425.080,421.328,422.475
395,421.920,420.453,420.571,425.349,425.368,421.233,422.206
396,422.461,420.594,420.854,425.300,425.703,421.455,421.860
397,422.881,421.045,420.728,425.254,426.063,421.964,421.643
398,423.077,421.572,420.390,424.995,426.273,422.456,421.566
399,423.205,421.837,420.094,424.760,426.090,422.588,421.653
400,423.330,421.620,419.968,424.729,425.416,422.381,421.902
401,423.596,421.100,420.009,424.811,424.647,422.201,422.278
402,423.868,420.725,420.214,424.805,424.227,422.299,422.543
403,423.822,420.788,420.515,424.654,424.282,422.579,422.652
404,423.407,421.079,420.750,424.353,424.582,422.800,422.661
405,422.971,421.350,420.689,424.169,424.907,422.638,422.610
406,422.823,421.438,420.232,424.279,425.141,422.096,422.527
407,422.930,421.381,419.603,424.549,425.255,421.597,422.473
408,423.041,421.451,419.316,424.580,425.220,421.460,422.424
409,423.117,421.662,419.565,424.294,425.087,421.555,422.498
410,423.028,421.812,420.082,424.123,425.115,421.700,422.651
411,422.715,421.729,420.517,424.352,425.278,421.833,422.687
412,422.223,421.398,420.931,424.909,425.545,422.127,422.366
