 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21
110,494.579,495.071,490.624,499.380,501.111,497.519,511.320,485.469,490.084,501.095,512.012,501.594,492.350,509.301,514.266,512.760,501.249,493.070,494.020,496.669,504.113
111,503.161,497.852,491.810,502.340,500.421,496.710,514.709,486.536,489.642,499.606,511.315,503.716,489.283,509.601,513.276,514.620,498.965,493.050,493.281,492.107,503.698
112,508.546,496.073,493.068,503.232,500.801,504.373,513.651,484.162,491.717,500.472,508.060,502.402,492.751,507.826,513.132,510.717,501.329,490.906,497.931,496.627,503.528
113,501.615,498.792,492.991,502.566,501.825,496.052,515.114,485.072,492.171,502.182,508.964,501.865,495.893,506.693,514.325,507.361,503.717,493.576,493.992,494.479,502.572
114,501.004,496.212,494.709,499.458,500.010,498.061,510.329,483.072,493.078,500.389,510.786,502.783,492.942,511.458,515.179,510.710,502.198,494.916,494.090,495.854,503.756
115,498.212,497.498,491.324,501.027,500.902,500.483,512.653,485.477,488.396,498.986,509.891,502.825,492.141,512.530,513.977,512.032,500.812,490.497,496.917,495.075,505.034
116,500.066,494.592,490.835,496.817,505.104,503.348,511.266,483.585,490.695,500.502,509.581,503.094,493.667,508.192,514.218,512.333,502.752,491.985,492.523,492.314,502.000
117,502.073,496.079,492.991,502.234,497.205,494.611,514.613,481.585,493.598,501.149,510.090,501.438,493.013,512.511,512.188,509.440,500.357,493.717,495.896,495.268,499.199
118,499.722,499.423,493.565,499.454,501.912,496.831,513.362,485.335,496.972,499.390,508.022,502.497,490.900,506.601,512.579,510.086,501.632,492.538,491.210,490.736,503.701
119,500.850,498.260,491.909,498.575,503.926,502.326,512.137,487.838,487.231,500.703,509.762,504.073,494.742,510.149,516.429,510.745,499.782,494.826,495.737,490.343,504.853
120,499.857,505.403,490.084,496.496,497.744,497.436,511.387,483.789,487.181,501.375,511.934,502.246,494.504,512.198,514.123,513.056,501.133,496.455,491.224,495.499,502.486
121,504.300,506.650,490.449,499.985,497.838,501.544,512.515,483.479,490.218,496.591,507.082,501.935,492.606,512.978,511.202,511.865,500.435,495.720,496.519,496.533,501.633
122,503.799,500.749,495.017,494.577,500.626,507.122,510.693,483.902,494.963,499.157,515.775,501.503,491.999,509.264,513.934,508.281,496.980,495.419,496.014,491.775,503.344
123,506.630,504.367,491.924,500.803,501.498,498.075,510.940,481.876,494.879,500.298,508.545,504.505,493.150,509.493,514.245,511.955,501.069,491.397,492.939,491.093,500.795
124,508.352,503.528,492.269,497.398,498.677,505.989,515.416,478.848,484.698,498.664,508.756,504.356,493.709,512.074,513.831,513.513,501.616,494.353,490.305,497.606,505.966
125,502.462,502.779,493.253,500.851,495.364,498.630,509.600,487.134,488.533,498.343,507.699,503.874,493.379,510.855,514.646,508.039,500.766,493.068,491.387,492.554,503.843
126,504.209,501.502,494.242,498.210,500.178,501.644,514.644,485.418,490.277,498.411,509.401,501.355,495.173,509.182,511.286,509.843,503.405,491.197,494.752,493.888,502.843
127,507.161,505.453,495.345,500.884,501.710,505.566,512.165,481.686,493.031,501.296,511.146,501.925,492.974,512.497,512.884,507.835,503.349,494.906,490.813,493.365,505.451
128,504.718,503.485,491.091,501.145,504.040,502.696,511.944,484.250,491.623,497.997,512.338,505.778,497.356,510.928,514.524,505.897,501.686,490.800,493.849,492.464,504.357
129,501.978,505.483,494.559,499.579,503.357,500.202,511.957,487.005,493.452,499.844,513.168,504.883,496.739,517.746,512.796,512.873,501.035,492.339,497.454,491.205,507.223
